iter	Passed	Remaining
1283	11772	15732
1284	11781	15723
1285	11789	15713
1286	11798	15703
1287	11806	15693
1288	11815	15683
1289	11823	15673
1290	11832	15663
1291	11840	15652
1292	11849	15643
1293	11859	15635
1294	11869	15626
1295	11878	15617
1296	11887	15608
1297	11896	15599
1298	11904	15588
1299	11912	15578
1300	11921	15568
1301	11930	15559
1302	11939	15550
1303	11948	15540
1304	11957	15530
1305	11966	15521
1306	11975	15512
1307	11983	15502
1308	11992	15492
1309	12001	15483
1310	12010	15473
1311	12020	15465
1312	12029	15455
1313	12037	15445
1314	12045	15435
1315	12054	15425
1316	12063	15416
1317	12073	15407
1318	12082	15398
1319	12091	15388
1320	12099	15378
1321	12108	15369
1322	12116	15358
1323	12125	15348
1324	12133	15339
1325	12143	15330
1326	12151	15320
1327	12159	15309
1328	12168	15299
1329	12177	15289
1330	12186	15281
1331	12195	15272
1332	12204	15262
1333	12213	15252
1334	12222	15243
1335	12230	15232
1336	12238	15223
1337	12248	15214
1338	12258	15206
1339	12268	15198
1340	12278	15189
1341	12287	15180
1342	12296	15171
1343	12306	15163
1344	12315	15153
1345	12324	15144
1346	12332	15134
1347	12341	15124
1348	12350	15115
1349	12360	15107
1350	12370	15099
1351	12379	15089
1352	12387	15079
1353	12410	15087
1354	12418	15076
1355	12426	15065
1356	12434	15054
1357	12442	15044
1358	12450	15034
1359	12459	15024
1360	12468	15014
1361	12476	15004
1362	12485	14995
1363	12495	14987
1364	12504	14978
1365	12513	14969
1366	12522	14958
1367	12530	14948
1368	12539	14938
1369	12547	14929
1370	12556	14919
1371	12565	14910
1372	12573	14899
1373	12582	14889
1374	12591	14880
1375	12599	14870
1376	12609	14861
1377	12618	14852
1378	12627	14843
1379	12635	14832
1380	12643	14822
1381	12651	14812
1382	12660	14802
1383	12668	14792
1384	12677	14782
1385	12685	14772
1386	12695	14764
1387	12704	14755
1388	12713	14745
1389	12723	14737
1390	12732	14727
1391	12741	14718
1392	12750	14709
1393	12758	14698
1394	12767	14688
1395	12775	14679
1396	12783	14668
1397	12792	14659
1398	12801	14650
1399	12810	14640
1400	12819	14631
1401	12828	14621
1402	12837	14612
1403	12846	14603
1404	12855	14593
1405	12864	14585
1406	12874	14576
1407	12882	14566
1408	12891	14556
1409	12899	14546
1410	12908	14536
1411	12917	14527
1412	12925	14517
1413	12934	14507
1414	12943	14498
1415	12952	14489
1416	12962	14480
1417	12971	14471
1418	12980	14462
1419	12989	14452
1420	12998	14443
1421	13006	14433
1422	13015	14423
1423	13024	14414
1424	13032	14404
1425	13041	14395
1426	13050	14386
1427	13060	14377
1428	13069	14368
1429	13077	14358
1430	13086	14348
1431	13095	14338
1432	13104	14329
1433	13113	14320
1434	13121	14310
1435	13131	14301
1436	13139	14292
1437	13151	14285
1438	13160	14275
1439	13168	14266
1440	13177	14256
1441	13185	14246
1442	13194	14236
1443	13203	14227
1444	13211	14217
1445	13219	14207
1446	13230	14199
1447	13242	14193
1448	13252	14184
1449	13260	14175
1450	13269	14166
1451	13278	14156
1452	13288	14148
1453	13297	14138
1454	13306	14129
1455	13315	14120
1456	13325	14111
1457	13334	14103
1458	13344	14093
1459	13354	14085
1460	13363	14077
1461	13372	14067
1462	13381	14058
1463	13390	14048
1464	13398	14038
1465	13407	14029
1466	13415	14019
1467	13424	14009
1468	13432	13999
1469	13441	13990
1470	13450	13981
1471	13459	13971
1472	13468	13962
1473	13477	13952
1474	13486	13943
1475	13494	13933
1476	13503	13923
1477	13511	13914
1478	13520	13904
1479	13529	13894
1480	13538	13885
1481	13546	13875
1482	13554	13865
1483	13563	13856
1484	13571	13846
1485	13581	13837
1486	13589	13827
1487	13599	13818
1488	13609	13810
1489	13618	13800
1490	13627	13792
1491	13637	13783
1492	13645	13773
1493	13656	13765
1494	13665	13756
1495	13674	13747
1496	13683	13738
1497	13694	13731
1498	13704	13722
1499	13713	13713
1500	13723	13704
1501	13732	13695
1502	13741	13686
1503	13750	13677
1504	13759	13668
1505	13768	13658
1506	13777	13649
1507	13786	13640
1508	13797	13632
1509	13806	13623
1510	13815	13614
1511	13825	13605
1512	13834	13596
1513	13844	13588
1514	13854	13580
1515	13864	13571
1516	13874	13563
